"country","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2022","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2022","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2021","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2021","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2020","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2020","SugarConsumption_SugarAndSweeteners_AnnualConsPerCapita_Kg_2019","SugarConsumption_TotalAnnualSugarAndSweeteners_1000t_2019","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2022","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2022","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2021","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2021","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2020","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2020","SugarConsumption_SugarRawEquivalent_AnnualConsPerCapita_Kg_2019","SugarConsumption_TotalAnnualSugarRawEquivalent_1000t_2019"
"Turkmenistan",17.012001067745107,123,17.484390950981666,124,17.41029739953467,121,19.13,118,15.905529453582824,115,16.779375186829178,119,16.54697686732634,115,18.49,114
"Hong Kong",56.791393425056796,424,46.629078374261816,349,47.52851711026616,356,51.24,384,21.83254039689683,163,20.30836651257248,152,22.829709061391892,171,26.5,199
"Libya",40.42193859187685,292,38.681574956763534,276,42.72291140318505,301,48.73,320,31.00861042664526,224,25.50741537003972,182,29.664745791580323,209,33.35,219
"Kyrgyzstan",49.742732313655246,346,42.81223608895562,292,40.66541219122047,271,44.58,282,14.807807596261531,103,15.394810922398424,105,12.90489095367144,86,14.49,92
"Paraguay",23.519109646385008,159,20.645763579077766,138,21.200107817691187,140,23.81,155,16.566920002485038,112,14.811091263251438,99,14.082928764609145,93,16.04,105
"Nicaragua",41.006440685520715,276,42.43958379108889,282,37.77453174050724,248,44.71,298,36.400644811422374,245,37.4732495176636,249,34.72819853562763,228,36.95,246
"Bulgaria",47.75954971241719,326,39.26004984572255,270,38.50785661231819,267,37.15,262,28.860832188178488,197,22.97439953934875,158,28.267939685447057,196,29.63,209
"Serbia",13.39967399034929,91,13.751878082285971,94,41.112885270440266,284,17.19,127,11.338185684141706,77,12.435208904194761,85,15.63447749720968,108,15.85,117
"El Salvador",33.43778660959951,210,33.0893989238752,207,34.1637969611864,213,35.21,221,31.0493732803424,195,30.37191205573086,190,31.757895766736652,198,33.08,208
"Republic of the Congo",14.912760351941143,90,10.522421243071326,62,441.1772374795534,2538,9.75,54,13.58718165399082,82,10.013271828084003,59,11.646522817624144,67,9.33,52
"Denmark",56.92117433803724,336,54.46678891814273,319,55.560033130241976,324,54.15,314,39.810940385234375,235,38.92924098224621,228,39.269282675387075,229,41.51,241
"Lebanon",75.20249839411332,432,78.17254622148539,447,74.17929292929293,423,68.52,396,39.8642873431758,229,39.523479745091045,226,35.94977553310887,205,34.4,199
"Finland",49.55739500475823,276,46.74179040908992,259,47.2004354737495,261,48.86,270,29.267591977447793,163,29.597118251315628,164,30.020200339626122,166,32.79,181
"Liberia",7.630334487809145,41,9.316793806043368,49,8.738780376971567,45,8.88,44,6.141488734090287,33,7.035130016808257,37,6.602634062600739,34,6.2,31
"Norway",65.23970092361823,356,64.34804154516658,348,53.16706541965731,286,45.3,242,25.106289400381176,137,28.660765630749488,155,27.14122920024464,146,27.41,147
"Slovakia",62.669005335087334,343,62.65203683425322,341,11.732312622135208,64,81.78,446,15.164803040268946,83,18.373031329693024,100,20.89818185817834,114,23.64,129
"Central African Republic",9.219229350887792,47,10.171944993251305,52,9.549141273576929,48,8.29,43,5.4923068473374075,28,6.650887110972008,34,5.9682132959855805,30,5.14,27
"Oman",33.613587499973576,159,24.88656614271557,112,33.16749585406302,150,34.9,161,25.58015149369058,121,23.997760209047154,108,26.976229961304586,122,21.98,101
"Ireland",94.52017800321721,483,87.70133023627653,441,87.30364206710941,435,80.82,396,31.115338100437963,159,31.620207500154123,159,31.50959035525558,157,32.41,159
"New Zealand",55.53682676212505,285,61.28002819272862,313,59.76449239629973,303,59,293,37.804015410007935,194,43.85535563952464,224,42.20990552081896,214,42.84,212
"Mauritania",43.48147115045409,212,43.08460422355841,204,40.21625475801771,185,40.67,178,41.020255802315184,200,41.183812860754365,195,38.69455863203866,178,39.09,171
"Costa Rica",48.408425427410975,246,46.24515068211597,234,47.275500961400944,238,49.43,251,41.52104782595006,211,41.699687153531926,211,44.09731602281936,222,45.21,230
"Kuwait",43.35974864419077,199,33.2512371753418,145,35.68068288736268,157,39.53,176,28.543352122557746,131,27.059627494416084,118,29.77177998881854,131,33.24,148
"Panama",50.67295041549547,223,52.23914944539053,227,47.74926279796705,205,52.88,224,19.31480172787944,85,19.79104340221844,86,22.593553616599042,97,22.85,97
"Croatia",76.78466763756613,300,81.79156655056171,321,82.7018988558306,327,86.1,356,32.24956040777778,126,29.81187939693371,117,35.1546297888699,139,32.12,133
"Georgia",40.31854284042817,153,42.497591363222426,161,44.52430131096404,169,53.19,201,35.83870474704726,136,35.634626298354206,135,37.93786620579185,144,46.05,174
"Mongolia",82.39762316820338,279,79.04972646998056,264,71.41164100912246,235,72.53,234,8.269295515088512,28,8.982923462497792,30,8.812500379849155,29,8.82,29
"Uruguay",50.428940903769195,171,48.282156210439545,164,50.01515164888187,170,50.8,174,37.74797915603776,128,36.8004239408838,125,39.129500995889934,133,40.17,138
"Bosnia and Herzegovina",54.91762356465302,176,50.23251800512187,163,41.826420355524576,138,40.87,137,23.714428357463806,76,23.113121781497792,75,23.64102020094867,78,21.99,74
"Qatar",40.79572405495668,118,36.58995801035886,103,36.027937703771876,101,36.18,102,23.163673827814385,67,23.090750200711906,65,24.256433305509777,68,23.7,67
"Moldova",49.34242988440713,150,32.07905337028488,97,34.86330002313359,107,43.74,114,30.921256060895136,94,29.43335824696241,89,27.695144878190238,85,35.17,92
"Namibia",61.945003910494655,179,59.41897493373183,167,53.870622553833975,147,59,144,23.87824173086107,69,24.194552667627335,68,23.820343306117064,65,25.63,63
"Armenia",50.33201775852433,145,48.07776055184908,138,48.77390699749904,141,57.56,162,24.64533283348433,71,25.43243855278973,73,25.943567551861193,75,27.32,77
"Lithuania",94.42937676611335,266,91.96669159667775,257,98.36323575700345,275,92.31,263,26.269826619144315,74,26.480681627058964,74,28.61475949294646,80,29.54,84
"Jamaica",51.77624210148144,147,50.393279016661495,143,56.52232278485484,160,61,172,38.744126742605154,110,39.821262439739506,113,43.451535640857166,123,45.34,128
"Albania",51.28005630196527,145,44.917954548644744,128,41.435261755949796,119,42.25,121,18.74374471727006,53,17.195154475653066,49,18.45436027785999,53,16.61,48
"Gambia",78.1347787003076,206,73.75747764954328,190,73.93480222440405,186,0.04,,49.30835549048538,130,46.97186734523547,121,48.49487027622201,122,,
"Gabon",18.924200349686313,46,18.51290854623178,44,20.236465249252973,47,23.39,52,14.398848092152628,35,14.726177252684371,35,17.653086706795147,41,19.44,44
"Botswana",55.74021779670395,136,57.04910387101073,137,52.8342399688912,125,51.57,129,24.181418014746566,59,23.735758544873075,57,21.97904382705874,52,21.25,53
"Lesotho",26.68288052630888,61,32.721066176145456,74,24.153184865793275,54,30.11,67,9.623333960308122,22,7.5170016891144975,17,9.392905225586274,21,9.55,21
"Guinea-Bissau",11.398555233124203,24,10.68562880068388,22,9.43742984015974,19,9.77,19,1.4248194041405253,3,2.4285520001554275,5,4.96706833692618,10,4.74,9
